ID	Gene Symbol	Gene Name	GB_ACC	SPOT_ID
WAN008D5G_x_at	NA	WAN008D5G 11164A-G11		WAN008D5G_x_at
WAN008D5I_x_at	ARPC1B	"Actin related protein 2/3 complex, subunit 1B, 41kDa"		WAN008D5I_x_at
WAN008D5K_at	NA	WAN008D5K 11164A-G07		WAN008D5K_at
WAN008D5P_at	NA	WAN008D5P 11164A-F12		WAN008D5P_at
WAN008D5Q_x_at	NA	WAN008D5Q 11164A-F11		WAN008D5Q_x_at
WAN008D5R_at	NA	WAN008D5R 11164A-F10		WAN008D5R_at
WAN008D5U_x_at	NA	WAN008D5U 11164A-F07		WAN008D5U_x_at
WAN008D5V_x_at	Gosr2	Golgi SNAP receptor complex member 2		WAN008D5V_x_at
WAN008D5X_at	TUBG1	"Tubulin, gamma 1"		WAN008D5X_at
WAN008D66_at	Mthfd1	"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase"		WAN008D66_at
WAN008D68_at	NA	WAN008D68 11164A-D08		WAN008D68_at
WAN008D69_at	NA	WAN008D69 11164A-D07		WAN008D69_at
WAN008D6B_at	NA	WAN008D6B 11164A-D04		WAN008D6B_at
WAN008D6C_at	NA	WAN008D6C 11164A-D03		WAN008D6C_at
WAN008D6E_x_at	HMOX2	Heme oxygenase (decycling) 2		WAN008D6E_x_at
WAN008D6H_x_at	NA	WAN008D6H 11164A-C09		WAN008D6H_x_at
WAN008D6J_at	HMGA2	High mobility group AT-hook 2		WAN008D6J_at
WAN008D6K_at	NA	WAN008D6K 11164A-C03		WAN008D6K_at
WAN008D6O_at	Strbp	Spermatid perinuclear RNA binding protein		WAN008D6O_at
WAN008D6R_at	TMED4	Transmembrane emp24 protein transport domain containing 4		WAN008D6R_at
WAN008D6S_at	Dfna5h	"Deafness, autosomal dominant 5 homolog (human)"		WAN008D6S_at
WAN008D6Z_x_at	NA	WAN008D6Z 11164A-A04		WAN008D6Z_x_at
WAN008D70_x_at	NA	WAN008D70 11164A-A01		WAN008D70_x_at
WAN008D72_at	WDR46	WD repeat domain 46		WAN008D72_at
WAN008D76_at	SAMM50	Sorting and assembly machinery component 50 homolog (S. cerevisiae)		WAN008D76_at
WAN008D79_at	NA	WAN008D79 11164B-G03		WAN008D79_at
WAN008D7B_at	NA	WAN008D7B 11164B-F10		WAN008D7B_at
WAN008D7G_at	VAMP3	Vesicle-associated membrane protein 3 (cellubrevin)		WAN008D7G_at
WAN008D7H_x_at	NA	WAN008D7H 11164B-F03		WAN008D7H_x_at
WAN008D7K_at	Rbms1	"RNA binding motif, single stranded interacting protein 1"		WAN008D7K_at
WAN008D7L_x_at	NA	WAN008D7L 11164B-E09		WAN008D7L_x_at
WAN008D7O_at	NA	WAN008D7O 11164B-E05		WAN008D7O_at
WAN008D7Q_at	HNRPA3	Heterogeneous nuclear ribonucleoprotein A3		WAN008D7Q_at
WAN008D7R_at	Nap1l1	Nucleosome assembly protein 1-like 1		WAN008D7R_at
WAN008D7S_at	ATP5H	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d"		WAN008D7S_at
WAN008D7T_at	NA	WAN008D7T 11164B-D10		WAN008D7T_at
WAN008D7W_at	NA	WAN008D7W 11164B-D07		WAN008D7W_at
WAN008D7X_at	NA	WAN008D7X 11164B-D06		WAN008D7X_at
WAN008D7Z_at	NA	WAN008D7Z 11164B-D03		WAN008D7Z_at
WAN008D82_at	NA	WAN008D82 11164B-C08		WAN008D82_at
WAN008D85_at	CALM3	"Calmodulin 3 (phosphorylase kinase, delta)"		WAN008D85_at
WAN008D8B_at	NA	WAN008D8B 11164B-B06		WAN008D8B_at
WAN008D8D_x_at	Ndufa11	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 11		WAN008D8D_x_at
WAN008D8E_at	PES1	"Pescadillo homolog 1, containing BRCT domain (zebrafish)"		WAN008D8E_at
WAN008D8I_x_at	NA	WAN008D8I 11164B-A03		WAN008D8I_x_at
WAN008DA9_at	Mm.379068	"9.5 days embryo parthenogenote cDNA, RIKEN full-length enriched library, clone:B130015H10 product:unclassifiable, full insert sequence"		WAN008DA9_at
WAN008DAD_at	NDRG3	NDRG family member 3		WAN008DAD_at
WAN008DAF_at	LASP1	LIM and SH3 protein 1		WAN008DAF_at
WAN008DAG_at	AARS	Alanyl-tRNA synthetase		WAN008DAG_at
WAN008DAI_x_at	NA	WAN008DAI 11165B-G03		WAN008DAI_x_at
WAN008DAP_at	ATP6V0E	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e"		WAN008DAP_at
WAN008DAU_at	NA	WAN008DAU 11165B-D12		WAN008DAU_at
WAN008DAW_x_at	RPN1	Ribophorin I		WAN008DAW_x_at
WAN008DB3_at	IMMP1L	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)		WAN008DB3_at
WAN008DB4_at	NA	WAN008DB4 11165B-C04		WAN008DB4_at
WAN008DB5_at	NA	WAN008DB5 11165B-C02		WAN008DB5_at
WAN008DB7_at	NA	WAN008DB7 11165B-B08		WAN008DB7_at
WAN008DB8_at	NA	WAN008DB8 11165B-B06		WAN008DB8_at
WAN008DBB_at	ACTN1	"Actinin, alpha 1"		WAN008DBB_at
WAN008DBC_x_at	NA	WAN008DBC 11165B-A12		WAN008DBC_x_at
WAN008DBD_at	NA	WAN008DBD 11165B-A09		WAN008DBD_at
WAN008DBG_x_at	NA	WAN008DBG 11165B-A03		WAN008DBG_x_at
WAN008DBL_at	NDUFB9	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa"		WAN008DBL_at
WAN008DBM_at	NA	WAN008DBM 11165C-H05		WAN008DBM_at
WAN008DBQ_at	NA	WAN008DBQ 11165C-G11		WAN008DBQ_at
WAN008DBR_at	LUC7L	LUC7-like (S. cerevisiae)		WAN008DBR_at
WAN008DBX_at	NA	WAN008DBX 11165C-F10		WAN008DBX_at
WAN008DBZ_at	NA	WAN008DBZ 11165C-F07		WAN008DBZ_at
WAN008DC2_at	NA	WAN008DC2 11165C-F02		WAN008DC2_at
WAN008DC4_at	Rpl14	Ribosomal protein L14		WAN008DC4_at
WAN008DC9_at	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17		WAN008DC9_at
WAN008DCL_at	NA	WAN008DCL 11165C-D05		WAN008DCL_at
WAN008DCN_at	NA	WAN008DCN 11165C-D03		WAN008DCN_at
WAN008DCP_at	TBC1D10A	"TBC1 domain family, member 10A"		WAN008DCP_at
WAN008DCQ_x_at	NA	WAN008DCQ 11165C-C11		WAN008DCQ_x_at
WAN008DCS_at	GTF2F1	"General transcription factor IIF, polypeptide 1, 74kDa"		WAN008DCS_at
WAN008DCU_at	RPS25	Ribosomal protein S25		WAN008DCU_at
WAN008DCV-rc_at	NA	RC WAN008DCV 11165C-C04		WAN008DCV-rc_at
WAN008DCW_at	NA	WAN008DCW 11165C-C03		WAN008DCW_at
WAN008DD1_at	NA	WAN008DD1 11165C-B10		WAN008DD1_at
WAN008DD3_at	LARP1	"La ribonucleoprotein domain family, member 1"		WAN008DD3_at
WAN008DDF_x_at	HIP1R	Huntingtin interacting protein 1 related		WAN008DDF_x_at
WAN008DDP_x_at	NA	WAN008DDP 11165D-G12		WAN008DDP_x_at
WAN008DDR_at	NA	WAN008DDR 11165D-G09		WAN008DDR_at
WAN008DDS_at	NA	WAN008DDS 11165D-G08		WAN008DDS_at
WAN008DDU_at	NA	WAN008DDU 11165D-G05		WAN008DDU_at
WAN008DDV_at	NA	WAN008DDV 11165D-G04		WAN008DDV_at
WAN008DDX_x_at	NA	RC WAN008DDX 11165D-G02		WAN008DDX_x_at
WAN008DDX-rc_at	NA	WAN008DDX 11165D-G02		WAN008DDX-rc_at
WAN008DDZ_at	XPO1	"Exportin 1 (CRM1 homolog, yeast)"		WAN008DDZ_at
WAN008DE2_at	NA	WAN008DE2 11165D-F08		WAN008DE2_at
WAN008DE3_at	NA	RC WAN008DE3 11165D-F07		WAN008DE3_at
WAN008DE3-rc_at	NA	WAN008DE3 11165D-F07		WAN008DE3-rc_at
WAN008DE6_at	NA	WAN008DE6 11165D-F04		WAN008DE6_at
WAN008DE8_at	TIMM23	Translocase of inner mitochondrial membrane 23 homolog (yeast)		WAN008DE8_at
WAN008DEC_at	NA	WAN008DEC 11165D-E07		WAN008DEC_at
WAN008DED_at	NA	WAN008DED 11165D-E04		WAN008DED_at
WAN008DEE_at	NA	WAN008DEE 11165D-E03		WAN008DEE_at
WAN008DEH_at	NA	WAN008DEH 11165D-D12		WAN008DEH_at
WAN008DEI_at	NA	WAN008DEI 11165D-D11		WAN008DEI_at
WAN008DEK_x_at	NA	WAN008DEK 11165D-D09		WAN008DEK_x_at
WAN008DEL_at	CLYBL	Citrate lyase beta like		WAN008DEL_at
WAN008DEO_at	Hs.114191	"Transcribed locus, strongly similar to XP_222503.3 PREDICTED: similar to mKIAA1744 protein [Rattus norvegicus]"		WAN008DEO_at
WAN008DEW_at	NA	WAN008DEW 11165D-C03		WAN008DEW_at
WAN008DEY_at	NA	WAN008DEY 11165D-C01		WAN008DEY_at
WAN008DEZ_at	NA	WAN008DEZ 11165D-B11		WAN008DEZ_at
WAN008DF2_x_at	NA	WAN008DF2 11165D-B07		WAN008DF2_x_at
WAN008DF4_at	NA	WAN008DF4 11165D-B05		WAN008DF4_at
WAN008DF5_at	NA	WAN008DF5 11165D-B04		WAN008DF5_at
WAN008DF8_at	NA	WAN008DF8 11165D-B01		WAN008DF8_at
WAN008DFA_at	2310042G06Rik	RIKEN cDNA 2310042G06 gene		WAN008DFA_at
WAN008DFF_x_at	NA	WAN008DFF 11165D-A05		WAN008DFF_x_at
WAN008DFH_at	NPM1	"Nucleophosmin (nucleolar phosphoprotein B23, numatrin)"		WAN008DFH_at
WAN008DFI_at	NA	WAN008DFI 11165D-A02		WAN008DFI_at
WAN008DFK_at	NA	WAN008DFK 11188A-H09		WAN008DFK_at
WAN008DFQ_at	TOPBP1	Topoisomerase (DNA) II binding protein 1		WAN008DFQ_at
WAN008DFT_at	ABHD6	Abhydrolase domain containing 6		WAN008DFT_at
WAN008DGC_at	BAIAP2L1	BAI1-associated protein 2-like 1		WAN008DGC_at
WAN008DGD_at	Aplp2	Amyloid beta (A4) precursor-like protein 2		WAN008DGD_at
WAN008DGE_at	LRP10	Low density lipoprotein receptor-related protein 10		WAN008DGE_at
WAN008DGF_x_at	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5		WAN008DGF_x_at
WAN008DGK_at	CHAF1A	"Chromatin assembly factor 1, subunit A (p150)"		WAN008DGK_at
WAN008DGM_at	NA	WAN008DGM 11188A-B09		WAN008DGM_at
WAN008DGN_at	NA	WAN008DGN 11188A-B08		WAN008DGN_at
WAN008DGQ_x_at	Eef1a1	Eukaryotic translation elongation factor 1 alpha 1		WAN008DGQ_x_at
WAN008DGT_at	ARNT	Aryl hydrocarbon receptor nuclear translocator		WAN008DGT_at
WAN008DGU_f_at	NA	WAN008DGU 11188A-B01		WAN008DGU_f_at
WAN008DGU_x_at	NA	WAN008DGU 11188A-B01		WAN008DGU_x_at
WAN008DGW_at	NA	WAN008DGW 11188B-H11		WAN008DGW_at
WAN008DGZ_at	NA	WAN008DGZ 11188B-H07		WAN008DGZ_at
WAN008DH1_x_at	NA	WAN008DH1 11188B-H05		WAN008DH1_x_at
WAN008DH2_at	PIGT	"Phosphatidylinositol glycan, class T"		WAN008DH2_at
WAN008DH6_x_at	NA	WAN008DH6 11188B-G09		WAN008DH6_x_at
WAN008DH7_x_at	NA	WAN008DH7 11188B-G08		WAN008DH7_x_at
WAN008DHD_at	SLC4A7	"Solute carrier family 4, sodium bicarbonate cotransporter, member 7"		WAN008DHD_at
WAN008DHI_at	CRKRS	"Cdc2-related kinase, arginine/serine-rich"		WAN008DHI_at
WAN008DHM_at	ADAT1	"Adenosine deaminase, tRNA-specific 1"		WAN008DHM_at
WAN008DHN_at	NA	WAN008DHN 11188B-F02		WAN008DHN_at
WAN008DHO_at	NA	WAN008DHO 11188B-F01		WAN008DHO_at
WAN008DHP_at	NA	WAN008DHP 11188B-E11		WAN008DHP_at
WAN008DHS_x_at	NA	WAN008DHS 11188B-E07		WAN008DHS_x_at
WAN008DHU_at	PDCL3	Phosducin-like 3		WAN008DHU_at
WAN008DHX_x_at	NA	WAN008DHX 11188B-E01		WAN008DHX_x_at
WAN008DHY_at	PIK4CA	"Phosphatidylinositol 4-kinase, catalytic, alpha polypeptide"		WAN008DHY_at
WAN008DI0_at	SORBS2	Sorbin and SH3 domain containing 2		WAN008DI0_at
WAN008DI2_at	2510049I19Rik	RIKEN cDNA 2510049I19 gene		WAN008DI2_at
WAN008DI6_at	Zbtb25	Zinc finger and BTB domain containing 25		WAN008DI6_at
WAN008DI7_at	NA	WAN008DI7 11188B-C12		WAN008DI7_at
WAN008DI8_at	Mm.243014	"CDNA, clone:Y1G0133E05, strand:plus, reference:ENSEMBL:Mouse-Transcript- ENST:ENSMUST00000029699, based on BLAT search"		WAN008DI8_at
WAN008DIA_at	U2AF1	U2 small nuclear RNA auxiliary factor 1		WAN008DIA_at
WAN008DIB_at	NA	WAN008DIB 11188B-C08		WAN008DIB_at
WAN008DIC_x_at	NA	WAN008DIC 11188B-C07		WAN008DIC_x_at
WAN008DIE_at	RAI14	Retinoic acid induced 14		WAN008DIE_at
WAN008DIK-rc_at	RNF10	Ring finger protein 10		WAN008DIK-rc_at
WAN008DIL_at	NA	WAN008DIL 11188B-B07		WAN008DIL_at
WAN008DIN_at	NA	WAN008DIN 11188B-B05		WAN008DIN_at
WAN008DIO_at	TIPARP	TCDD-inducible poly(ADP-ribose) polymerase		WAN008DIO_at
WAN008DIP_at	NA	WAN008DIP 11188B-B03		WAN008DIP_at
WAN008DIQ_x_at	NA	WAN008DIQ 11188B-B02		WAN008DIQ_x_at
WAN008DIS_at	NA	WAN008DIS 11188B-A12		WAN008DIS_at
WAN008DIT_at	NA	WAN008DIT 11188B-A10		WAN008DIT_at
WAN008DIV_at	G6PC3	"Glucose 6 phosphatase, catalytic, 3"		WAN008DIV_at
WAN008DIX_at	C030045D06Rik	RIKEN cDNA C030045D06 gene		WAN008DIX_at
WAN008DJ1_at	NA	RC WAN008DJ1 11188C-H12		WAN008DJ1_at
WAN008DJ1-rc_at	NA	WAN008DJ1 11188C-H12		WAN008DJ1-rc_at
WAN008DJ2_at	Anapc1	Anaphase promoting complex subunit 1		WAN008DJ2_at
WAN008DJ3_at	Btbd5	BTB (POZ) domain containing 5		WAN008DJ3_at
WAN008DJ5_at	NA	WAN008DJ5 11188C-H08		WAN008DJ5_at
WAN008DJ6_at	RNF5	Ring finger protein 5		WAN008DJ6_at
WAN008DJ7_at	ATAD1	"ATPase family, AAA domain containing 1"		WAN008DJ7_at
WAN008DJ8_f_at	NA	WAN008DJ8 11188C-H03		WAN008DJ8_f_at
WAN008DJ8_x_at	NA	WAN008DJ8 11188C-H03		WAN008DJ8_x_at
WAN008DJ9_at	SLC1A4	"Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"		WAN008DJ9_at
WAN008DJB_at	NA	WAN008DJB 11188C-G11		WAN008DJB_at
WAN008DJC_at	NA	WAN008DJC 11188C-G10		WAN008DJC_at
WAN008DJD_at	CDCA2	Cell division cycle associated 2		WAN008DJD_at
WAN008DJE_at	ASH1L	"Ash1 (absent, small, or homeotic)-like (Drosophila)"		WAN008DJE_at
WAN008DJI_at	DARS	Aspartyl-tRNA synthetase		WAN008DJI_at
WAN008DJJ_at	KTN1	Kinectin 1 (kinesin receptor)		WAN008DJJ_at
WAN008DJK_at	NA	WAN008DJK 11188C-G02		WAN008DJK_at
WAN008DJQ_at	CLTC	"Clathrin, heavy polypeptide (Hc)"		WAN008DJQ_at
WAN008DJR_at	GEMIN5	Gem (nuclear organelle) associated protein 5		WAN008DJR_at
WAN008DJX_at	NA	WAN008DJX 11188C-E12		WAN008DJX_at
WAN008DJY_at	NA	WAN008DJY 11188C-E11		WAN008DJY_at
WAN008DK0_at	NA	WAN008DK0 11188C-E09		WAN008DK0_at
WAN008DK1_at	UQCRC1	Ubiquinol-cytochrome c reductase core protein I		WAN008DK1_at
WAN008DK3_at	YWHAQ	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"		WAN008DK3_at
WAN008DK4_at	NUDCD3	NudC domain containing 3		WAN008DK4_at
WAN008DK5_at	MYST4	MYST histone acetyltransferase (monocytic leukemia) 4		WAN008DK5_at
WAN008DKB_at	NA	WAN008DKB 11188C-D08		WAN008DKB_at
WAN008DKD_at	MAFG	V-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)		WAN008DKD_at
WAN008DKG_at	NA	WAN008DKG 11188C-D02		WAN008DKG_at
WAN008DKH_x_at	NA	WAN008DKH 11188C-D01		WAN008DKH_x_at
WAN008DKI_x_at	NA	WAN008DKI 11188C-C12		WAN008DKI_x_at
WAN008DKJ_x_at	Zfp297b	Zinc finger protein 297B		WAN008DKJ_x_at
WAN008DKM_at	NA	WAN008DKM 11188C-C08		WAN008DKM_at
WAN008DKN_at	NA	WAN008DKN 11188C-C07		WAN008DKN_at
WAN008DKP_at	NA	RC WAN008DKP 11188C-C05		WAN008DKP_at
WAN008DKP-rc_at	NA	WAN008DKP 11188C-C05		WAN008DKP-rc_at
WAN008DKQ_x_at	NA	WAN008DKQ 11188C-C04		WAN008DKQ_x_at
WAN008DKR_at	DRG1	Developmentally regulated GTP binding protein 1		WAN008DKR_at
WAN008DKS_at	MAPK8IP1	Mitogen-activated protein kinase 8 interacting protein 1		WAN008DKS_at
WAN008DKX_at	NA	WAN008DKX 11188C-B06		WAN008DKX_at
WAN008DL0_at	SRP68	Signal recognition particle 68kDa		WAN008DL0_at
WAN008DL3_at	NA	WAN008DL3 11188C-A11		WAN008DL3_at
WAN008DL4_at	NA	WAN008DL4 11188C-A10		WAN008DL4_at
WAN008DL6_at	Rn.6896	"Transcribed locus, strongly similar to XP_219519.2 PREDICTED: similar to C184L ORF1 protein [Rattus norvegicus]"		WAN008DL6_at
WAN008DL9_at	VDAC2	Voltage-dependent anion channel 2		WAN008DL9_at
WAN008DLA_at	NA	WAN008DLA 11188C-A03		WAN008DLA_at
WAN008DLB_at	NA	WAN008DLB 11188C-A02		WAN008DLB_at
WAN008DLC_at	INTS2	Integrator complex subunit 2		WAN008DLC_at
WAN008DLD_at	NA	WAN008DLD 11188D-H12		WAN008DLD_at
WAN008DLE_at	NA	WAN008DLE 11188D-H11		WAN008DLE_at
WAN008DLF_at	NOL9	Nucleolar protein 9		WAN008DLF_at
WAN008DLH_at	VDAC2	Voltage-dependent anion channel 2		WAN008DLH_at
WAN008DLI_at	NA	WAN008DLI 11188D-H07		WAN008DLI_at
WAN008DLJ_at	NA	WAN008DLJ 11188D-H06		WAN008DLJ_at
WAN008DLP_at	CSNK2A2	"Casein kinase 2, alpha prime polypeptide"		WAN008DLP_at
WAN008DLQ_at	ATP5O	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)"		WAN008DLQ_at
WAN008DLR_at	D1Bwg1363e	"DNA segment, Chr 1, Brigham & Women's Genetics 1363 expressed"		WAN008DLR_at
WAN008DLV_at	CCT3	"Chaperonin containing TCP1, subunit 3 (gamma)"		WAN008DLV_at
WAN008DLY_at	RSU1	Ras suppressor protein 1		WAN008DLY_at
WAN008DLZ_at	C230096C10Rik	RIKEN cDNA C230096C10 gene		WAN008DLZ_at
WAN008DM0_at	NA	WAN008DM0 11188D-F10		WAN008DM0_at
WAN008DM1_at	MRPS10	Mitochondrial ribosomal protein S10		WAN008DM1_at
WAN008DM2_at	TRAPPC3	Trafficking protein particle complex 3		WAN008DM2_at
WAN008DM4_at	RRBP1	Ribosome binding protein 1 homolog 180kDa (dog)		WAN008DM4_at
WAN008DM8_at	Sod2	"Superoxide dismutase 2, mitochondrial"		WAN008DM8_at
WAN008DM9_x_at	IRF2BP2	Interferon regulatory factor 2 binding protein 2		WAN008DM9_x_at
WAN008DME_at	RGD1307615_predicted	Similar to hypothetical protein FLJ13045 (predicted)		WAN008DME_at
WAN008DMF_at	PPP4C	"Protein phosphatase 4 (formerly X), catalytic subunit"		WAN008DMF_at
WAN008DMG_x_at	NA	RC WAN008DMG 11188D-E04		WAN008DMG_x_at
WAN008DMG-rc_at	NA	WAN008DMG 11188D-E04		WAN008DMG-rc_at
WAN008DMI_at	ACSL5	Acyl-CoA synthetase long-chain family member 5		WAN008DMI_at
WAN008DMJ_at	NAB2	NGFI-A binding protein 2 (EGR1 binding protein 2)		WAN008DMJ_at
WAN008DML_at	EIF4G1	"Eukaryotic translation initiation factor 4 gamma, 1"		WAN008DML_at
WAN008DMN_at	NA	WAN008DMN 11188D-D08		WAN008DMN_at
WAN008DMP_at	EWSR1	Ewing sarcoma breakpoint region 1		WAN008DMP_at
WAN008DMQ_f_at	NA	WAN008DMQ 11188D-D04		WAN008DMQ_f_at
WAN008DMQ_x_at	NA	WAN008DMQ 11188D-D04		WAN008DMQ_x_at
WAN008DMR_f_at	Taok3	TAO kinase 3		WAN008DMR_f_at
WAN008DMR_x_at	Taok3	TAO kinase 3		WAN008DMR_x_at
WAN008DMW_at	NA	WAN008DMW 11188D-C09		WAN008DMW_at
WAN008DMY_at	NA	WAN008DMY 11188D-C07		WAN008DMY_at
WAN008DN1_at	NA	WAN008DN1 11188D-C03		WAN008DN1_at
WAN008DN2_at	NA	WAN008DN2 11188D-C02		WAN008DN2_at
WAN008DN6_x_at	NOL9	Nucleolar protein 9		WAN008DN6_x_at
WAN008DN7_at	NA	WAN008DN7 11188D-B09		WAN008DN7_at
WAN008DNA_at	RBM28	RNA binding motif protein 28		WAN008DNA_at
WAN008DNE_at	NA	WAN008DNE 11188D-B02		WAN008DNE_at
WAN008DNH_at	NA	WAN008DNH 11188D-A11		WAN008DNH_at
WAN008DNJ_at	Rbmxrt	"RNA binding motif protein, X chromosome retrogene"		WAN008DNJ_at
WAN008DNM_at	NA	WAN008DNM 11188D-A03		WAN008DNM_at
WAN008DNN_at	NA	WAN008DNN 11188D-A02		WAN008DNN_at
WAN008DNO_at	ELP4	Elongation protein 4 homolog (S. cerevisiae)		WAN008DNO_at
WAN008DNP_at	XPO1	"Exportin 1 (CRM1 homolog, yeast)"		WAN008DNP_at
WAN008DNR_at	ANKRD32	Ankyrin repeat domain 32		WAN008DNR_at
WAN008DNZ_at	SRPRB	"Signal recognition particle receptor, B subunit"		WAN008DNZ_at
WAN008DO0_at	NA	WAN008DO0 11228A-G09		WAN008DO0_at
WAN008DO2_at	OSGEP	O-sialoglycoprotein endopeptidase		WAN008DO2_at
WAN008DO3_at	ACIN1	Apoptotic chromatin condensation inducer 1		WAN008DO3_at
WAN008DO4_at	NA	WAN008DO4 11228A-G04		WAN008DO4_at
WAN008DO5_at	NA	WAN008DO5 11228A-G03		WAN008DO5_at
WAN008DO7_x_at	NA	WAN008DO7 11228A-F12		WAN008DO7_x_at
WAN008DO8_x_at	NA	WAN008DO8 11228A-F07		WAN008DO8_x_at
WAN008DO9_at	NA	WAN008DO9 11228A-F06		WAN008DO9_at
WAN008DOG_at	NA	WAN008DOG 11228A-E07		WAN008DOG_at
WAN008DOJ_at	NADSYN1	NAD synthetase 1		WAN008DOJ_at
WAN008DOK_at	Pum2	Pumilio 2 (Drosophila)		WAN008DOK_at
WAN008DOL_at	NA	WAN008DOL 11228A-D09		WAN008DOL_at
WAN008DOO_x_at	NA	RC WAN008DOO 11228A-D05		WAN008DOO_x_at
WAN008DOO-rc_x_at	NA	WAN008DOO 11228A-D05		WAN008DOO-rc_x_at
WAN008DOR_at	Nf1	Neurofibromatosis 1		WAN008DOR_at
WAN008DOS_at	NA	WAN008DOS 11228A-C11		WAN008DOS_at
WAN008DOT_at	RNPS1	"RNA binding protein S1, serine-rich domain"		WAN008DOT_at
WAN008DOU_at	NA	WAN008DOU 11228A-C08		WAN008DOU_at
WAN008DOW_at	TRIP12	Thyroid hormone receptor interactor 12		WAN008DOW_at
WAN008DOZ_at	NA	WAN008DOZ 11228A-B12		WAN008DOZ_at
WAN008DP1_x_at	NA	WAN008DP1 11228A-B07		WAN008DP1_x_at
WAN008DP3_at	3010001K23Rik	RIKEN cDNA 3010001K23 gene		WAN008DP3_at
WAN008DP4_at	ZC3H11A	Zinc finger CCCH-type containing 11A		WAN008DP4_at
WAN008DP7_at	NA	WAN008DP7 11228A-A11		WAN008DP7_at
WAN008DPB_at	TPP2	Tripeptidyl peptidase II		WAN008DPB_at
WAN008DPF_at	NA	WAN008DPF 11228B-H09		WAN008DPF_at
WAN008DPI_at	3110057O12Rik	RIKEN cDNA 3110057O12 gene		WAN008DPI_at
WAN008DPJ_at	Trim26	Tripartite motif protein 26		WAN008DPJ_at
WAN008DPM_at	NA	WAN008DPM 11228B-H02		WAN008DPM_at
WAN008DPO_at	BTBD1	BTB (POZ) domain containing 1		WAN008DPO_at
WAN008DPS_at	NA	WAN008DPS 11228B-G08		WAN008DPS_at
WAN008DPU_at	NA	WAN008DPU 11228B-G06		WAN008DPU_at
WAN008DPY_at	NA	WAN008DPY 11228B-G02		WAN008DPY_at
WAN008DPZ_at	Gorasp2	Golgi reassembly stacking protein 2		WAN008DPZ_at
WAN008DQ1_at	Herpud2	HERPUD family member 2		WAN008DQ1_at
WAN008DQ2_at	NA	RC WAN008DQ2 11228B-F10		WAN008DQ2_at
WAN008DQ2-rc_at	NA	WAN008DQ2 11228B-F10		WAN008DQ2-rc_at
WAN008DQ3_at	NA	WAN008DQ3 11228B-F09		WAN008DQ3_at
WAN008DQ4_at	API5	Apoptosis inhibitor 5		WAN008DQ4_at
WAN008DQA_at	NA	WAN008DQA 11228B-F01		WAN008DQA_at
WAN008DQB_at	CPSF3L	Cleavage and polyadenylation specific factor 3-like		WAN008DQB_at
WAN008DQC_at	Inpp5f	Inositol polyphosphate-5-phosphatase F		WAN008DQC_at
WAN008DQD_at	RIT1	Ras-like without CAAX 1		WAN008DQD_at
WAN008DQE_at	YES1	V-yes-1 Yamaguchi sarcoma viral oncogene homolog 1		WAN008DQE_at
WAN008DQG_at	PRPF3	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)		WAN008DQG_at
WAN008DQI_at	NA	WAN008DQI 11228B-E05		WAN008DQI_at
WAN008DQK_at	NA	WAN008DQK 11228B-E02		WAN008DQK_at
WAN008DQM_at	XPNPEP1	"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble"		WAN008DQM_at
WAN008DQP_at	PDE7A	Phosphodiesterase 7A		WAN008DQP_at
WAN008DQR_at	MORC3	MORC family CW-type zinc finger 3		WAN008DQR_at
WAN008DQT_at	NA	WAN008DQT 11228B-D04		WAN008DQT_at
WAN008DQV_x_at	NA	WAN008DQV 11228B-D02		WAN008DQV_x_at
WAN008DQX_at	WRNIP1	Werner helicase interacting protein 1		WAN008DQX_at
WAN008DR0_at	NA	WAN008DR0 11228B-C07		WAN008DR0_at
WAN008DR1_x_at	DDX50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50		WAN008DR1_x_at
WAN008DR3_at	RAB6IP2	RAB6 interacting protein 2		WAN008DR3_at
WAN008DR6_at	AI642036	Expressed sequence AI642036		WAN008DR6_at
WAN008DR9_at	D15Ertd682e	"DNA segment, Chr 15, ERATO Doi 682, expressed"		WAN008DR9_at
WAN008DRA_at	TIMM50	Translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)		WAN008DRA_at
WAN008DRB_at	NA	WAN008DRB 11228B-B08		WAN008DRB_at
WAN008DRC_at	Rab10	"RAB10, member RAS oncogene family"		WAN008DRC_at
